ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,TEDTALK1101,PGN.TXT,0.30233,0.13265,0.18440,1
ROUGE-2,TEDTALK1101,PGN.TXT,0.02439,0.01099,0.01515,1
ROUGE-SU4,TEDTALK1101,PGN.TXT,0.09744,0.04524,0.06179,1
ROUGE-L,TEDTALK1344,PGN.TXT,0.09259,0.17857,0.12195,1
ROUGE-1,TEDTALK1344,PGN.TXT,0.14085,0.14286,0.14184,1
ROUGE-2,TEDTALK1344,PGN.TXT,0.01471,0.01515,0.01493,1
ROUGE-SU4,TEDTALK1344,PGN.TXT,0.03692,0.03834,0.03762,1
ROUGE-L,TEDTALK612,PGN.TXT,0.07018,0.11429,0.08696,1
ROUGE-1,TEDTALK612,PGN.TXT,0.09524,0.06667,0.07843,1
ROUGE-2,TEDTALK612,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK612,PGN.TXT,0.02105,0.01500,0.01752,1
ROUGE-L,TEDTALK1343,PGN.TXT,0.15909,0.30435,0.20896,1
ROUGE-1,TEDTALK1343,PGN.TXT,0.16667,0.09524,0.12121,1
ROUGE-2,TEDTALK1343,PGN.TXT,0.02174,0.01299,0.01626,1
ROUGE-SU4,TEDTALK1343,PGN.TXT,0.04545,0.02857,0.03509,1
ROUGE-L,TEDTALK613,PGN.TXT,0.10638,0.12195,0.11364,1
ROUGE-1,TEDTALK613,PGN.TXT,0.13208,0.04930,0.07179,1
ROUGE-2,TEDTALK613,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK613,PGN.TXT,0.03404,0.01212,0.01788,1
ROUGE-L,TEDTALK855,PGN.TXT,0.14634,0.18182,0.16216,1
ROUGE-1,TEDTALK855,PGN.TXT,0.25000,0.09836,0.14118,1
ROUGE-2,TEDTALK855,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK855,PGN.TXT,0.06190,0.02321,0.03377,1
ROUGE-L,TEDTALK1102,PGN.TXT,0.06061,0.08000,0.06897,1
ROUGE-1,TEDTALK1102,PGN.TXT,0.19512,0.06780,0.10063,1
ROUGE-2,TEDTALK1102,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1102,PGN.TXT,0.04324,0.01481,0.02207,1
ROUGE-L,TEDTALK614,PGN.TXT,0.06818,0.12000,0.08696,1
ROUGE-1,TEDTALK614,PGN.TXT,0.10638,0.05000,0.06803,1
ROUGE-2,TEDTALK614,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK614,PGN.TXT,0.02326,0.01163,0.01550,1
ROUGE-L,TEDTALK1346,PGN.TXT,0.15789,0.22500,0.18557,1
ROUGE-1,TEDTALK1346,PGN.TXT,0.25352,0.11392,0.15721,1
ROUGE-2,TEDTALK1346,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1346,PGN.TXT,0.07869,0.03243,0.04593,1
ROUGE-L,TEDTALK1103,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-1,TEDTALK1103,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-2,TEDTALK1103,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1103,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-L,TEDTALK856,PGN.TXT,0.12245,0.27273,0.16901,1
ROUGE-1,TEDTALK856,PGN.TXT,0.11321,0.02985,0.04724,1
ROUGE-2,TEDTALK856,PGN.TXT,0.02000,0.00505,0.00806,1
ROUGE-SU4,TEDTALK856,PGN.TXT,0.02979,0.00718,0.01157,1
ROUGE-L,TEDTALK1345,PGN.TXT,0.02439,0.08333,0.03774,1
ROUGE-1,TEDTALK1345,PGN.TXT,0.04545,0.02439,0.03175,1
ROUGE-2,TEDTALK1345,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1345,PGN.TXT,0.01500,0.00882,0.01111,1
ROUGE-L,TEDTALK1104,PGN.TXT,0.07692,0.06897,0.07273,1
ROUGE-1,TEDTALK1104,PGN.TXT,0.11111,0.03846,0.05714,1
ROUGE-2,TEDTALK1104,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1104,PGN.TXT,0.02400,0.00857,0.01263,1
ROUGE-L,TEDTALK615,PGN.TXT,0.11765,0.11429,0.11594,1
ROUGE-1,TEDTALK615,PGN.TXT,0.17500,0.05932,0.08861,1
ROUGE-2,TEDTALK615,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK615,PGN.TXT,0.04706,0.01481,0.02254,1
ROUGE-L,TEDTALK857,PGN.TXT,0.03333,0.07692,0.04651,1
ROUGE-1,TEDTALK857,PGN.TXT,0.03333,0.01389,0.01961,1
ROUGE-2,TEDTALK857,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK857,PGN.TXT,0.00714,0.00323,0.00444,1
ROUGE-L,TEDTALK616,PGN.TXT,0.08333,0.28571,0.12903,1
ROUGE-1,TEDTALK616,PGN.TXT,0.23438,0.17857,0.20270,1
ROUGE-2,TEDTALK616,PGN.TXT,0.03226,0.02532,0.02837,1
ROUGE-SU4,TEDTALK616,PGN.TXT,0.07000,0.05676,0.06269,1
ROUGE-L,TEDTALK1105,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-1,TEDTALK1105,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-2,TEDTALK1105,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1105,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-L,TEDTALK1348,PGN.TXT,0.17073,0.17073,0.17073,1
ROUGE-1,TEDTALK1348,PGN.TXT,0.19565,0.09574,0.12857,1
ROUGE-2,TEDTALK1348,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1348,PGN.TXT,0.04762,0.02381,0.03175,1
ROUGE-L,TEDTALK858,PGN.TXT,0.15909,0.12281,0.13861,1
ROUGE-1,TEDTALK858,PGN.TXT,0.25000,0.08784,0.13000,1
ROUGE-2,TEDTALK858,PGN.TXT,0.02000,0.00699,0.01036,1
ROUGE-SU4,TEDTALK858,PGN.TXT,0.07083,0.02464,0.03656,1
ROUGE-L,TEDTALK1347,PGN.TXT,0.10417,0.11628,0.10989,1
ROUGE-1,TEDTALK1347,PGN.TXT,0.15000,0.04945,0.07438,1
ROUGE-2,TEDTALK1347,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1347,PGN.TXT,0.04231,0.01279,0.01964,1
ROUGE-L,TEDTALK1106,PGN.TXT,0.09091,0.16667,0.11765,1
ROUGE-1,TEDTALK1106,PGN.TXT,0.10526,0.03846,0.05634,1
ROUGE-2,TEDTALK1106,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1106,PGN.TXT,0.03125,0.01064,0.01587,1
ROUGE-L,TEDTALK617,PGN.TXT,0.11429,0.08889,0.10000,1
ROUGE-1,TEDTALK617,PGN.TXT,0.11429,0.03704,0.05594,1
ROUGE-2,TEDTALK617,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK617,PGN.TXT,0.02759,0.00816,0.01260,1
ROUGE-L,TEDTALK859,PGN.TXT,0.06250,0.06250,0.06250,1
ROUGE-1,TEDTALK859,PGN.TXT,0.14706,0.06757,0.09259,1
ROUGE-2,TEDTALK859,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK859,PGN.TXT,0.04000,0.01765,0.02449,1
ROUGE-L,TEDTALK618,PGN.TXT,0.11111,0.09756,0.10390,1
ROUGE-1,TEDTALK618,PGN.TXT,0.16667,0.04545,0.07143,1
ROUGE-2,TEDTALK618,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK618,PGN.TXT,0.04211,0.01143,0.01798,1
ROUGE-L,TEDTALK1107,PGN.TXT,0.08333,0.09091,0.08696,1
ROUGE-1,TEDTALK1107,PGN.TXT,0.08333,0.01786,0.02941,1
ROUGE-2,TEDTALK1107,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1107,PGN.TXT,0.01818,0.00392,0.00645,1
ROUGE-L,TEDTALK1108,PGN.TXT,0.08333,0.06667,0.07407,1
ROUGE-1,TEDTALK1108,PGN.TXT,0.08333,0.01282,0.02222,1
ROUGE-2,TEDTALK1108,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1108,PGN.TXT,0.01818,0.00274,0.00476,1
ROUGE-L,TEDTALK619,PGN.TXT,0.05882,0.05000,0.05405,1
ROUGE-1,TEDTALK619,PGN.TXT,0.08333,0.02586,0.03947,1
ROUGE-2,TEDTALK619,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK619,PGN.TXT,0.01875,0.00545,0.00845,1
ROUGE-L,TEDTALK1349,PGN.TXT,0.06667,0.07692,0.07143,1
ROUGE-1,TEDTALK1349,PGN.TXT,0.09677,0.03488,0.05128,1
ROUGE-2,TEDTALK1349,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1349,PGN.TXT,0.02222,0.00833,0.01212,1
ROUGE-L,TEDTALK1109,PGN.TXT,0.02381,0.05263,0.03279,1
ROUGE-1,TEDTALK1109,PGN.TXT,0.02273,0.01250,0.01613,1
ROUGE-2,TEDTALK1109,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1109,PGN.TXT,0.00526,0.00256,0.00345,1
ROUGE-L,TEDTALK850,PGN.TXT,0.05882,0.12000,0.07895,1
ROUGE-1,TEDTALK850,PGN.TXT,0.05556,0.03571,0.04348,1
ROUGE-2,TEDTALK850,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK850,PGN.TXT,0.01200,0.00811,0.00968,1
ROUGE-L,TEDTALK851,PGN.TXT,0.11364,0.12821,0.12048,1
ROUGE-1,TEDTALK851,PGN.TXT,0.17308,0.10000,0.12676,1
ROUGE-2,TEDTALK851,PGN.TXT,0.02083,0.01176,0.01504,1
ROUGE-SU4,TEDTALK851,PGN.TXT,0.04545,0.02500,0.03226,1
ROUGE-L,TEDTALK852,PGN.TXT,0.03448,0.05263,0.04167,1
ROUGE-1,TEDTALK852,PGN.TXT,0.08824,0.01786,0.02970,1
ROUGE-2,TEDTALK852,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK852,PGN.TXT,0.01875,0.00390,0.00645,1
ROUGE-L,TEDTALK610,PGN.TXT,0.10000,0.09677,0.09836,1
