ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-SU4,TEDTALK810,TEXTRANK.TXT,0.04783,0.01803,0.02619,1
ROUGE-L,TEDTALK811,TEXTRANK.TXT,0.11321,0.08571,0.09756,1
ROUGE-1,TEDTALK811,TEXTRANK.TXT,0.27692,0.16667,0.20809,1
ROUGE-2,TEDTALK811,TEXTRANK.TXT,0.01613,0.01010,0.01242,1
ROUGE-SU4,TEDTALK811,TEXTRANK.TXT,0.08475,0.05482,0.06658,1
ROUGE-L,TEDTALK812,TEXTRANK.TXT,0.19512,0.10959,0.14035,1
ROUGE-1,TEDTALK812,TEXTRANK.TXT,0.23636,0.13978,0.17568,1
ROUGE-2,TEDTALK812,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK812,TEXTRANK.TXT,0.06531,0.03596,0.04638,1
ROUGE-L,TEDTALK1940,TEXTRANK.TXT,0.13208,0.10448,0.11667,1
ROUGE-1,TEDTALK1940,TEXTRANK.TXT,0.27119,0.13115,0.17680,1
ROUGE-2,TEDTALK1940,TEXTRANK.TXT,0.01852,0.00833,0.01149,1
ROUGE-SU4,TEDTALK1940,TEXTRANK.TXT,0.07968,0.03390,0.04756,1
ROUGE-L,TEDTALK813,TEXTRANK.TXT,0.15556,0.09722,0.11966,1
ROUGE-1,TEDTALK813,TEXTRANK.TXT,0.15094,0.08421,0.10811,1
ROUGE-2,TEDTALK813,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK813,TEXTRANK.TXT,0.03830,0.02022,0.02647,1
ROUGE-L,TEDTALK814,TEXTRANK.TXT,0.15094,0.13333,0.14159,1
ROUGE-1,TEDTALK814,TEXTRANK.TXT,0.19298,0.11458,0.14379,1
ROUGE-2,TEDTALK814,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK814,TEXTRANK.TXT,0.04706,0.02609,0.03357,1
ROUGE-L,TEDTALK1942,TEXTRANK.TXT,0.13462,0.09859,0.11382,1
ROUGE-1,TEDTALK1942,TEXTRANK.TXT,0.28358,0.19000,0.22754,1
ROUGE-2,TEDTALK1942,TEXTRANK.TXT,0.01587,0.01031,0.01250,1
ROUGE-SU4,TEDTALK1942,TEXTRANK.TXT,0.08475,0.05319,0.06536,1
